Date,Age,Gender,Comorbidities?,Vaccination,Designation,How many hours of work per week in the current situation?,Years of service?,Patients per ICU nurse,Adequate PPE provided?,Was mental health support available?,Received Covid 19 specific training?,Tested for Covid 19?,"If tested , were you positive for Covid 19?",Living with family while working with covid 19 patients?,Personal Burnout [How often are you physically exhausted?],Score,Personal Burnout [How often are you emotionally exhausted?],Score,Personal Burnout [How often do you think: â€œI canâ€™t take it anymore?],Score,Personal Burnout [How often do you feel weak and susceptible to illness?],Score,Personal Burnout [How often do you feel worn out (extremely tired)?],Score,Domain 1,Work-related Burnout [Are you exhausted in the morning at the thought of another day at work?],Score,Work-related Burnout [Do you feel that every working hour is tiring for you?],Score,Work-related Burnout [Do you have enough energy for family and friends during leisure time?],Score,Work-related Burnout [Do you feel that your work is emotionally exhausting?],Score,Work-related Burnout [Does your work frustrate you?],Score,Work-related Burnout [Do you feel burnt out (complete physical or mental exhaustion) because of your work?],Score,Domain 2,Client Related burnout [Do you feel it is hard to work in the current scenario?],Score,Client Related burnout [Does it drain more of your energy to work during the current scenario?],Score,Client Related burnout [Do you find it fruitful while performing your work during the current scenario?],Score,Client Related burnout [Do you feel that you are giving more than what you get back while working in the current scenario?],Score,Client Related burnout [Do you hesitate to work during this current scenario?],Score,Client Related burnout [Do you feel depressed because of the current scenario?],Score,Client Related burnout [Do you feel that your patience is tested while working in the current scenario?],Score,Client Related burnout [Do you feel lock down due to the current scenario has added stress on you?],Score,Client Related burnout [Do you have fear to catch COVID-19 infection while working in the current scenario?],Score,Client Related burnout [Do you have a fear of family members catching infection because of your work exposure?],Score,Client Related burnout [Do you feel welcomed by the community because you are a health care worker and working in the current scenario?],Score,Client Related burnout [Are you thinking of any substance abuse (alcohol/drugs/smoking) during this period of lockdown?],Score,Client Related burnout [Do you have a fear of death while working in the current scenario?],Score,Client Related burnout [Do you feel you are being properly protected by the hospital while working in the current scenario?],Score,Client Related burnout [Do you feel you are being supported by colleagues during the current scenario?],Score,Domain 3,Overall Average
6/14/2021,30,Female,None,both doses,Nurse,48,5,1,Yes,Yes,No,No,N/A,No,Sometimes,50,Often,75,Sometimes,50,Rarely,25,Sometimes,50,50,Disagree,25,Disagree,25,Strongly agree,0,Agree,75,Disagree,25,Agree,75,38,Agree,75,Agree,75,Agree,25,Strongly Agree,100,Undecided,50,Agree,75,Strongly Agree,100,Undecided,50,Agree,75,Strongly Agree,100,Agree,25,Strongly disagree,0,Strongly disagree,0,Disagree,75,Agree,25,57,51
6/14/2021,30,Female,None,both doses,Nurse,48,5,1,No,No,No,Yes,No,No,Often,75,Often,75,Often,75,Often,75,Often,75,75,Disagree,25,Agree,75,Agree,25,Agree,75,Agree,75,Strongly agree,100,63,Agree,75,Agree,75,Agree,25,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Strongly Agree,100,Agree,25,Disagree,25,Agree,75,Strongly disagree,100,Agree,25,65,66
6/14/2021,40,Female,None,both doses,Nurse,73,10,1,Yes,Yes,Yes,Yes,No,No,Often,75,Sometimes,50,Often,75,Often,75,Sometimes,50,65,Agree,75,Strongly agree,100,Undecided,50,Strongly agree,100,Agree,75,Agree,75,79,Strongly Agree,100,Agree,75,Agree,25,Agree,75,Agree,75,Agree,75,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Agree,75,Agree,75,Strongly Agree,0,Strongly Agree,0,65,68
6/14/2021,40,Female,None,both doses,Nurse,48,15,0,No needed,No,Yes,Yes,No,No,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,50,Agree,75,Agree,75,Agree,25,Agree,75,Agree,75,Agree,75,67,Agree,75,Agree,75,Agree,25,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Agree,25,Agree,75,Agree,75,Agree,25,Agree,25,62,61
6/14/2021,30,Female,None,both doses,Nurse,73,5,0,No,No,No,No,No,No,Sometimes,50,Rarely,25,Sometimes,50,Rarely,25,Rarely,25,35,Undecided,50,Undecided,50,Agree,25,Agree,75,Agree,75,Agree,75,58,Agree,75,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,52,50
6/14/2021,40,Male,None,both doses,Doctor,48,10,0,Yes,No,No,No,N/A,Yes,Sometimes,50,Rarely,25,Rarely,25,Rarely,25,Rarely,25,30,Disagree,25,Disagree,25,Agree,25,Disagree,25,Disagree,25,Disagree,25,25,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Strongly Agree,100,Agree,75,Agree,75,Agree,75,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Agree,25,Strongly disagree,0,Strongly Agree,100,Undecided,50,Strongly Agree,0,67,50
6/14/2021,40,Female,None,both doses,Nurse,72,15,3,Yes,No,No,No,No,No,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Often,75,55,Agree,75,Strongly agree,100,Undecided,50,Undecided,50,Undecided,50,Strongly agree,100,71,Strongly disagree,0,Strongly disagree,0,Agree,25,Agree,75,Agree,75,Strongly disagree,0,Strongly disagree,0,Disagree,25,Disagree,25,Undecided,50,Agree,25,Strongly disagree,0,Strongly disagree,0,Strongly Agree,0,Strongly disagree,100,27,42
6/14/2021,40,Female,None,both doses,Doctor,60,10,0,Yes,No,No,No,N/A,Yes,Always,100,Often,75,Often,75,Always,100,Always,100,90,Agree,75,Strongly agree,100,Disagree,75,Agree,75,Strongly agree,100,Strongly agree,100,88,Strongly Agree,100,Strongly Agree,100,Disagree,75,Agree,75,Undecided,50,Agree,75,Agree,75,Disagree,25,Strongly Agree,100,Strongly Agree,100,Disagree,75,Strongly disagree,0,Agree,75,Disagree,75,Undecided,50,70,78
6/14/2021,40,Male,Depression or other psychological disease;Others,both doses,Doctor,60,10,0,Yes,No,No,Yes,No,No,Always,100,Sometimes,50,Always,25,Always,100,Always,100,75,Strongly agree,100,Strongly agree,100,Strongly disagree,100,Disagree,25,Agree,75,Strongly agree,100,83,Strongly Agree,100,Strongly Agree,100,Agree,25,Agree,75,Agree,75,Disagree,25,Strongly Agree,100,Undecided,50,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Strongly disagree,0,Strongly disagree,0,Strongly Agree,0,Undecided,50,53,64
6/14/2021,40,Male,Bronchial Asthma,both doses,Doctor,73,15,4,Yes,No,No,No,N/A,Yes,Sometimes,50,Often,75,Sometimes,50,Often,75,Sometimes,50,60,Agree,75,Undecided,50,Disagree,75,Disagree,25,Agree,75,Agree,75,63,Agree,75,Agree,75,Undecided,50,Agree,75,Agree,75,Agree,75,Agree,75,Undecided,50,Strongly Agree,100,Strongly Agree,100,Disagree,75,Undecided,50,Strongly Agree,100,Disagree,75,Agree,25,72,67
